Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DEA,"Easterly Government Properties, Inc.",21.96,$1.78B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea,
EGP,"EastGroup Properties, Inc.",137.61,$5.44B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/egp,
EMN,Eastman Chemical Company,103.22,$13.98B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/emn,
ETN,"Eaton Corporation, PLC",123.25,$49.13B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/etn,
ETV,Eaton Vance Corporation,14.63,$1.33B,2005,n/a,n/a,https://old.nasdaq.com/symbol/etv,
ETW,Eaton Vance Corporation,9.43,$1.01B,2005,n/a,n/a,https://old.nasdaq.com/symbol/etw,
EV,Eaton Vance Corporation,68.7,$7.91B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ev,
EOS,Eaton Vance Enhanced Equity Income Fund II,20.26,$1.01B,2005,n/a,n/a,https://old.nasdaq.com/symbol/eos,
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,22.67,$1.67B,2003,n/a,n/a,https://old.nasdaq.com/symbol/evt,
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,16.9,$1.29B,2004,n/a,n/a,https://old.nasdaq.com/symbol/etg,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.9,$1.81B,2006,n/a,n/a,https://old.nasdaq.com/symbol/ety,
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.2,$2.48B,2007,n/a,n/a,https://old.nasdaq.com/symbol/exg,
ECL,Ecolab Inc.,219.31,$62.6B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ecl,
EC,Ecopetrol S.A.,12.39,$25.47B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ec,
EPC,Edgewell Personal Care,36.05,$1.96B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/epc,
EIX,Edison International,65.45,$24.77B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eix,
EW,Edwards Lifesciences Corporation,85.61,$53.36B,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ew,
ELAN,Elanco Animal Health Incorporated,31.62,$14.92B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elan,
ESTC,Elastic N.V.,115.74,$10.04B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/estc,
EGO,Eldorado Gold Corporation,11.96,$2.09B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ego,
ESI,Element Solutions Inc.,14.28,$3.53B,2014,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/esi,
LLY,Eli Lilly and Company,144.9,$138.61B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lly,
ERJ,Embraer S.A.,6.26,$1.15B,2000,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/erj,
